資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
92462,107年9月臺灣臺南地方法院會計報告,臺灣臺南地方法院,公共資訊,107年9月臺灣臺南地方法院會計報告,,不更新,政府資料開放授權條款-第1版,,2018/10/11 00:00,2018/10/11 17:02,
92489,臺中高等行政法院107年9月份會計月報,臺中高等行政法院,公共資訊,臺中高等行政法院107年9月份會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,http://tcb.judicial.gov.tw/index1.asp?struID=70&cid=55&newsType=5,2018/10/12 00:00,2018/10/12 13:59,
92408,新竹市地方型SBIR獲補助名單,新竹市政府,公共資訊,新竹市地方產業創新研發推動計畫(地方型SBIR)獲補助名單,包含本年度獲補助廠商（公司/行號）名稱;創新計畫名稱;獲補助金額,每日,政府資料開放授權條款-第1版,,2018/09/28 00:00,2018/10/11 11:56,新竹市地方產業創新研發推動計畫(地方型SBIR)獲補助名單
92409,新竹市中小企業及個人便利貸款,新竹市政府,公共資訊,新竹市中小企業及個人便利貸款核貸名單,含獲核貸之中小企業名稱及核貸金額,每日,政府資料開放授權條款-第1版,,2018/09/28 00:00,2018/10/11 11:56,新竹市中小企業及個人便利貸款核貸名單
92410,新竹市超級市場名冊,新竹市政府,公共資訊,提供本市超級市場名冊查詢,超級市場業,每日,政府資料開放授權條款-第1版,,2018/09/28 00:00,2018/10/11 11:57,提供本市超級市場名冊查詢
92411,新竹市列管電子遊戲場業名冊,新竹市政府,公共資訊,提供本市列管電子遊戲場業名冊查詢,電子遊戲場業,每日,政府資料開放授權條款-第1版,,2018/09/28 00:00,2018/10/11 11:57,提供本市列管電子遊戲場業名冊查詢
92412,新竹市列管視聽歌唱業等八種行業名冊,新竹市政府,公共資訊,提供本市列管視聽歌唱業等八種行業名冊查詢,視聽歌唱業等八種行業,每日,政府資料開放授權條款-第1版,,2018/09/28 00:00,2018/10/11 11:57,提供本市列管視聽歌唱業等八種行業名冊查詢
92413,新竹市政風檢舉管道,新竹市政府,公共資訊,新竹市政風檢舉管道,本府廉政熱線檢舉管道,每日,政府資料開放授權條款-第1版,,2018/09/26 00:00,2018/10/11 11:58,新竹市政風檢舉管道
92414,新竹市政府已簽約促參案件表,新竹市政府,公共資訊,新竹市政府已簽約促參案件相關資料,案件名稱;簽約日期; 民間機構;契約開始日期;契約結束日期;財政部核定效益,每日,政府資料開放授權條款-第1版,,2018/09/26 00:00,2018/10/11 16:02,新竹市政府已簽約促參案件相關資料
92415,新竹市政府歲入預算結構表,新竹市政府,公共資訊,新竹市政府歲入預算相關資料,科目;107年度預算金額;107年度預算百分比,每年,政府資料開放授權條款-第1版,,2018/09/26 00:00,2018/10/11 16:02,新竹市政府歲入預算相關資料
92416,新竹市政府財政處經管市有閒置房地公開標租清冊,新竹市政府,公共資訊,新竹市政府財政處經管市有閒置房地公開標租清冊,土地標示;房屋標示;標租底價,每日,政府資料開放授權條款-第1版,,2018/10/04 00:00,2018/10/11 12:03,新竹市政府財政處經管市有閒置房地公開標租清冊
