資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
93180,臺灣花蓮地方法院107年9月份會計月報,臺灣花蓮地方法院,公共資訊,歲入累計表等表件,,不更新,政府資料開放授權條款-第1版,,2018/10/15 00:00,2018/10/15 11:12,
93185,福建金門地方法院107年09月份會計月報,福建金門地方法院,公共資訊,福建金門地方法院107年09月份會計月報,,每月,政府資料開放授權條款-第1版,,2018/10/15 00:00,2018/10/15 11:39,
93213,臺灣基隆地方法院107年9月份會計月報,臺灣基隆地方法院,公共資訊,107年9月份會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,不更新,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/16 09:44,
93178,監察院廉政專刊第114期,監察院,選舉及投票,監察院廉政專刊第114期,,不更新,政府資料開放授權條款-第1版,,2018/10/15 00:00,2018/10/15 14:04,
93182,監察院廉政專刊第109期,監察院,選舉及投票,監察院廉政專刊第109期,,不更新,政府資料開放授權條款-第1版,,2018/10/15 00:00,2018/10/15 14:04,
93184,監察院廉政專刊第97期,監察院,選舉及投票,監察院廉政專刊第97期,,不更新,政府資料開放授權條款-第1版,,2018/10/15 00:00,2018/10/15 14:04,
92494,中央研究院線上簽核比率表,秘書處,公共資訊,中央研究院線上簽核比率表,報表名稱;年度;月份;電子收文;紙本轉線上簽核數;自創簽稿數;線上簽核數;線上簽核比率,每年,政府資料開放授權條款-第1版,,2018/10/12 00:00,2018/10/16 09:43,
92495,中央研究院文書處理法規,秘書處,公共資訊,中央研究院文書處理法規,,即時,政府資料開放授權條款-第1版,,2018/10/12 00:00,2018/10/16 09:43,
93190,國史館107年9月會計月報,國史館,公共資訊,國史館107年9月會計月報資料,,每月,政府資料開放授權條款-第1版,,2018/10/15 00:00,2018/10/15 14:19,
93191,國史館107年9月特別預算會計月報,國史館,公共資訊,國史館107年9月特別預算會計月報資料,,每月,政府資料開放授權條款-第1版,,2018/10/15 00:00,2018/10/15 14:19,
