資料集識別碼,資料集名稱,服務分類,資料集描述,主要欄位說明,提供機關,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
92100,利益衝突管理委員會相關資料,公共資訊,利益衝突管理委員會相關資料,資料名稱;日期;網址,法制處,每10日,政府資料開放授權條款-第1版,,2018/10/01 00:00,2018/10/01 15:14,
92122,高速公路局出版品目錄,交通及通訊,高速公路局出版品目錄,,交通部高速公路局,每半年,政府資料開放授權條款-第1版,,2018/10/01 00:00,2018/10/01 16:17,
92126,高速公路局行政採購契約-107,交通及通訊,高速公路局行政採購契約-107,序號;標題;年度;案號;決標金額;得標廠商;決標日期;契約內容,交通部高速公路局,每半年,政府資料開放授權條款-第1版,,2018/10/01 00:00,2018/10/01 16:42,
92103,貨品及規定生效資料,公共資訊,提供貨品及規定生效資料(1.依據國家發展委員會訂定之跨機關資料交換參考指引，完成本資料集系統介接程式 2.主要欄位中文說明 : 10碼貨品號列、1碼貨品號列檢查碼、中文貨名 、英文貨名、號列實施日、輸入規定、輸出規定),good_code;good_pre_code;good_c_name;good_e_name;effect_date;ireg;ereg,經濟部國際貿易局,每月,政府資料開放授權條款-第1版,,2018/10/01 00:00,2018/10/01 15:54,介紹文稿內容：提供貨品及規定生效資料。OAS3標準之API說明文件：https://fbfh.trade.gov.tw/rich/text/openapi.yaml。 Swagger 產生API說明頁面網址：https://editor.swagger.io/
92066,108年度中央政府總預算案－分析表,公共資訊,提供108年度中央政府總預算案相關分析表-各機關歲入來源別、一級用途別、二級用途別、政事別、資本支出等分析表及分析總表,,行政院主計總處,不更新,政府資料開放授權條款-第1版,,2018/09/28 00:00,2018/10/01 13:34,
92067,108年度中央政府總預算案－人工表,公共資訊,提供108年度中央政府總預算案相關人工表-中央政府累計餘絀分析表、各級政府淨收支比較總表、各級政府淨收支綜計表、因擔保保證或契約可能造成未來會計年度支出明細表、基金別預算分析表、機關總員額法員額彙計表、歷年中央政府收支概況表、歷年各級政府淨支出對國內生產毛額之比率、歷年各級政府淨收支概況表、補助地方政府經費彙總表,,行政院主計總處,不更新,政府資料開放授權條款-第1版,,2018/09/28 00:00,2018/10/01 13:34,
92068,108年度中央政府總預算案－簡明表,公共資訊,提供108年度中央政府總預算案相關簡明表-收支簡明比較分析表、歲入歲出性質及餘絀簡明比較分析表、歲入歲出簡明比較分析表、歲入歲出簡明對照表,,行政院主計總處,不更新,政府資料開放授權條款-第1版,,2018/09/28 00:00,2018/10/01 13:34,
92069,108年度中央政府總預算案－預算表,公共資訊,提供108年度中央政府總預算案相關預算表-歲出政事別、歲出機關別、歲入來源別預算表及預算比較總表,,行政院主計總處,不更新,政府資料開放授權條款-第1版,,2018/09/28 00:00,2018/10/01 13:34,
92070,108年度中央政府總預算案－參考表,公共資訊,提供108年度中央政府總預算案相關參考表-各機關員額彙計表、歲出按職能及經濟性綜合分類表、收支併列案款對照表,,行政院主計總處,不更新,政府資料開放授權條款-第1版,,2018/09/28 00:00,2018/10/01 13:35,
91569,衛生福利部社會及家庭署107年度8-12月會計月報,生活安全及品質,衛生福利部社會及家庭署107年度8-12月會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,衛生福利部社會及家庭署,每月,政府資料開放授權條款-第1版,https://www.sfaa.gov.tw/SFAA/Pages/ashx/File.ashx?FilePath=~/File/Attach/7640/File_173190.zip,2018/09/18 00:00,2018/09/21 09:07,
