資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
109236,新竹縣歲入決算數-按來源別分,主計處,公共資訊,歲入決算審定數-按來源別分,年度;歲入決算數;稅課收入;罰款及賠償收入;規費收入;財產收入;營業盈餘及事業收入;補助及協助收入;捐獻及贈與收入;其他收入,每年,政府資料開放授權條款-第1版,,2019/09/21 00:00,
109313,新竹縣路外停車場,交通旅遊處,公共資訊,新竹縣路外停車場,證號;公司名稱;公司電話;停車場名稱;行政區;停車場地址地號;型式;停車格數量;收費方式;備註,每季,政府資料開放授權條款-第1版,,2019/09/21 00:00,
109314,新竹縣景點資料,交通旅遊處,休閒旅遊,新竹縣景點資料,景點中文名稱;地址;電話;開放時間;網址,每半年,政府資料開放授權條款-第1版,,2019/09/21 00:00,
109315,新竹縣觀光遊憩區每月遊客人次,交通旅遊處,休閒旅遊,新竹縣觀光遊憩區每月遊客人次,觀光遊憩區別;遊客人次;上年同月份遊客人次;增減數;成長率,每月,政府資料開放授權條款-第1版,,2019/09/21 00:00,
109316,新竹縣美食資料,交通旅遊處,休閒旅遊,新竹縣美食資料,餐飲店家名稱;店家地址;預約電話;營業時間,每半年,政府資料開放授權條款-第1版,,2019/09/21 00:00,
109351,新竹縣住宿資料,交通旅遊處,休閒旅遊,新竹縣住宿資料,序號;核准登記營業日期;縣市旅宿登記證號;類別;標章;旅宿名稱;縣市;鄉鎮;郵遞區號;地址;電話;傳真;房間數;電子郵件;網址,每半年,政府資料開放授權條款-第1版,,2019/09/21 00:00,
109352,新竹縣候車亭資訊,交通旅遊處,公共資訊,新竹縣候車亭資訊,序號;補助年度;設施種類;設置路段;站名;方向;行經之公車路線;完工後管理機關;是否已完工啟用;是否已整合行經當地之公路客運設站,每年,政府資料開放授權條款-第1版,,2019/09/21 00:00,
109277,新竹縣政府機關通訊錄,人事處,公共資訊,新竹縣政府機關通訊錄,機關名稱;地址;電話,每年,政府資料開放授權條款-第1版,,2019/09/21 00:00,
109388,新竹縣政府徵才資訊,人事處,求職及就業,新竹縣政府徵才資訊,序號;職缺機關;職缺單位;職系;職稱;職等;名額;工作地點;有效時間;資格條件;工作項目;工作地址;聯絡方式;關鍵字,每日,政府資料開放授權條款-第1版,,2019/10/04 00:00,
109392,105年新竹縣政府公務人員參訓人數,人事處,求學及進修,105年新竹縣政府公務人員參訓人數,序號;日期;時間;課程名稱;參加人數,每年,政府資料開放授權條款-第1版,,2019/10/14 00:00,
109393,106年新竹縣政府公務人員參訓人數,人事處,求學及進修,新竹縣106年公務人員參訓人數,序號;日期;時間;課程名稱;參加人數,每年,政府資料開放授權條款-第1版,,2019/10/14 00:00,
109394,107年新竹縣政府公務人員參訓人數,人事處,求學及進修,107年新竹縣政府公務人員參訓人數,序號;日期;時間;課程名稱;參加人數,每年,政府資料開放授權條款-第1版,,2019/10/14 00:00,
109395,105年新竹縣政府公務人員考試新進人員人數,人事處,求職及就業,105年新竹縣政府公務人員考試新進人員人數,考試種類及等別;105年新竹縣政府公務人員考試新進人員人數,每年,政府資料開放授權條款-第1版,,2019/10/15 00:00,
109396,106年新竹縣政府公務人員考試新進人員人數,人事處,求職及就業,106年新竹縣政府公務人員考試新進人員人數,考試種類及等別;106年新竹縣政府公務人員考試新進人員人數,每年,政府資料開放授權條款-第1版,,2019/10/15 00:00,
109397,107年新竹縣政府公務人員考試新進人員人數,人事處,求職及就業,107年新竹縣政府公務人員考試新進人員人數,考試種類及等別;107年新竹縣政府公務人員考試新進人員人數,每年,政府資料開放授權條款-第1版,,2019/10/15 00:00,
