新增日期,資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,相關網址
2019-02-27,99192,107年12月司法院及所屬各級法院之終結案件資料與欄位說明,司法院,公共資訊,107年12月司法院及所屬各級法院之終結案件資料，資料提供格式請參閱「司法統計系統資料欄位說明」,"",每月,""
2019-02-27,99384,國史館臺灣文獻館108年度單位預算,國史館臺灣文獻館,公共資訊,國史館臺灣文獻館108年度單位預算資料,mh_itemserialno1;mh_itemserialno2;mh_itemserialno3;mh_itemserialno4;budgetno;mh_budgetname;budgetno_conver;tyear_amt;lyear_amt;byear_amt;b_amt;bc_content;blevel;ordinaryid;agenno;agentype;displayname;memo;ba_fiscalyear;ba_fundkind;ba_budgetkind;ba_specialbudgetno;ba_agenno;ba_agentype;ba_budgetstate;ba_versiondate;ba_budgetyear;ba_budgetno;ba_subprojectno;mj_subprojectname;ba_departno;ba_objectno;ba_budgettype;ba_budgetsource;ba_mergetype;ba_budgetamt;ba_flowflag;ba_signflag;ba_signno;ba_key;bc_fiscalyear;bc_fundkind;bc_budgetkind;bc_specialbudgetno;bc_agenno;bc_agentype;bc_budgetstate;bc_reportno;bc_key;bc_versiondate;objectNo;budget;total;款;項;目;節;科目名稱;預算科目編號;人事費;業務費_經;奬補助費_經;債務費;預備金_經;經常支出小計;業務費_資;設備及投資;奬補助費_資;預備金_資;資本支出小計;合計;budgetname;damt1;damt2;damt3;damt4;damt5;damt6;damt7;damt8;damt9;damt10;damt11;no1;no2;no3;no4;b_level;level;mi_objectname;objectnoname;budgetamt_sum;displaymemo;btn_memo;bn_fiscalyear;bn_fundkind;bn_budgetkind;bn_specialbudgetno;bn_agenno;bn_agentype;bn_budgetstate;bn_budgetsource;bn_man1;bn_man1_l;bn_man2;bn_man2_l;bn_man3;bn_man3_l;bn_man4;bn_man4_l;bn_man5;bn_man5_l;bn_man6;bn_man6_l;bn_man7;bn_man7_l;bn_man8;bn_man8_l;bn_man9;bn_man9_l;bn_man10;bn_man10_l;bn_man11;bn_man11_l;bn_amt_man;bn_amt_mngbsn;bn_text;display_name;bq_fiscalyear;bq_fundkind;bq_budgetkind;bq_specialbudgetno;bq_agenno;bq_agentype;bq_budgetstate;bq_budgetno;bq_objectno;bq_carid;bq_persons;bq_buydate;bq_ventsize;bq_oilamt;bq_oilprice;bq_amt_maintain;bq_amt5;bq_carnum;bq_remark;bq_lpgamt;bq_lpgprice;bq_versiondate;m33_fiscalyear;m33_reportno;m33_level1;m33_level2;m33_level3;m33_level4;m33_objectname;m33_objectno;m33_detailid;br_fiscalyear;br_fundkind;br_budgetkind;br_specialbudgetno;br_agenno;br_agentype;br_budgetstate;br_objectno;br_holds1;br_area1;br_bookvalue1;br_amtyear1;br_holds2;br_area2;br_amtyear2;br_holds3;br_area3;br_deposit;br_rental;br_amtyear3;br_area4;br_deposit4;br_rental4;br_amtyear4;br_versiondate;br_text;bh_fiscalyear;bh_fundkind;bh_budgetkind;bh_specialbudgetno;bh_agenno;bh_agentype;bh_budgetstate;bh_versiondate;bh_objectno;bh_endowplanno;bh_endowplanname;bh_donname;bh_endowsts;bh_budgetno;bh_subprojectno;bh_budgetsource;bh_applyid;bh_startyear;bh_endyear;bh_donrem;bh_bgtyear;bh_amt_man;bh_amt_business;bh_amt_other;bh_amt_land;bh_amt_house;bh_amt6;bh_amt7;bh_flowflag;bh_signflag;bh_signno;mj_subprojectno_na;職能別分類經濟性分類;消費支出_經;債務利息_經;補助地方_經;移轉民間_經;小計_經;資本形成_資;土地購入_資;增資_資;補助地方_資;移轉民間_資;小計_資;總計,每年,""
2019-02-27,99157,國立高級中等學校校務基金108年度月報,教育部國民及學前教育署,公共資訊,國立高級中等學校校務基金108年度月報,明細項目;以前年度保留數;本年度法定預算數;本年度奉准先行辦理數;調整數;本年度可用預算數;累計預算分配數;實際執行數-實支數;實際執行數-應付未付數;實際執行數;實際執行數-百分比;比較增減;比較增減-百分比;契約責任數;結餘款;累計工程進度-預估;累計工程進度-實際,每月,""
2019-02-27,99396,教育部國民及學前教育署108年度會計月報,教育部國民及學前教育署,求學及進修,教育部國民及學前教育署108年度會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,http://www.k12ea.gov.tw/files/common_unit/d9c1c97f-9686-484c-8cfd-bd4c6694ca44/doc/10801_%e6%95%99%e8%82%b2%e9%83%a8%e5%9c%8b%e6%b0%91%e5%8f%8a%e5%ad%b8%e5%89%8d%e6%95%99%e8%82%b2%e7%bd%b2%e6%9c%88%e5%a0%b1(xml).zip
2019-02-27,99398,108年教育部國民及學前教育署中央政府前瞻基礎建設計畫第2期特別預算月報,教育部國民及學前教育署,求學及進修,108年教育部國民及學前教育署中央政府前瞻基礎建設計畫第2期特別預算月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;原預算數;追加減數;第一預備金;第二預備金;經費流用數;預算調整數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應付數;已分配尚未執行數;備註_預暫付數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,http://www.k12ea.gov.tw/files/common_unit/127457d3-90ca-4540-b45c-7417f72cf477/doc/10801_%e6%95%99%e8%82%b2%e9%83%a8%e5%9c%8b%e6%b0%91%e5%8f%8a%e5%ad%b8%e5%89%8d%e6%95%99%e8%82%b2%e7%bd%b2%e4%b8%ad%e5%a4%ae%e6%94%bf%e5%ba%9c%e5%89%8d%e7%9e%bb%e5%bb%ba%e8%a8%ad%e8%a8%88%e7%95%ab%e7%ac%ac2%e6%9c%9f%e7%89%b9%e5%88%a5%e9%a0%90%e7%ae%97%e6%9c%88%e5%a0%b1(xml).zip
2019-02-27,99403,教育部國民及學前教育署108年度補捐助款資料,教育部國民及學前教育署,求學及進修,教育部國民及學前教育署108年度補捐助款資料,執行日期;科目名稱;摘要;受款單位;金額,每月,http://www.k12ea.gov.tw/files/common_unit/212e7b25-a32f-40d3-b419-602bd70ad752/doc/%e6%95%99%e8%82%b2%e9%83%a8%e5%9c%8b%e6%b0%91%e5%8f%8a%e5%ad%b8%e5%89%8d%e6%95%99%e8%82%b2%e7%bd%b2108%e5%b9%b41%e6%9c%88%e8%a3%9c%e5%8a%a9%e6%98%8e%e7%b4%b0%e8%a1%a8(csv).csv;http://www.k12ea.gov.tw/files/common_unit/212e7b25-a32f-40d3-b419-602bd70ad752/doc/%e6%95%99%e8%82%b2%e9%83%a8%e5%9c%8b%e6%b0%91%e5%8f%8a%e5%ad%b8%e5%89%8d%e6%95%99%e8%82%b2%e7%bd%b2108%e5%b9%b41%e6%9c%88%e8%a3%9c%e5%8a%a9%e6%98%8e%e7%b4%b0%e8%a1%a8(csv).csv
2019-02-27,99375,104年第4季印花稅徵收季報,新竹縣政府,公共資訊,104年第4季印花稅徵收季報,%，金額,每年,https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=D57CD09E-5588-4BA2-8041-B47FA1DC18A5;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=D57CD09E-5588-4BA2-8041-B47FA1DC18A5;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=D57CD09E-5588-4BA2-8041-B47FA1DC18A5;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=D57CD09E-5588-4BA2-8041-B47FA1DC18A5
2019-02-27,99393,106年新竹縣地價稅查定,新竹縣政府,公共資訊,106年新竹縣地價稅查定,稅地種類的戶數;筆數;課稅面積;課稅地價;地價稅額,每年,https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=993C8039-61D0-4C97-9F3A-736C74365F35;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=993C8039-61D0-4C97-9F3A-736C74365F35;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=993C8039-61D0-4C97-9F3A-736C74365F35;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=993C8039-61D0-4C97-9F3A-736C74365F35
2019-02-27,99394,新竹縣累進起點地價及地價稅率級距表,新竹縣政府,公共資訊,新竹縣累進起點地價及地價稅率級距表,年度;級距;課稅地價下限;課稅地價上限;累進差額;稅率,每年,https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=B97A9919-06D9-4FBF-94BC-E9DB55A0AF1F;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=B97A9919-06D9-4FBF-94BC-E9DB55A0AF1F;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=B97A9919-06D9-4FBF-94BC-E9DB55A0AF1F;https://data.hsinchu.gov.tw/OpenData/Detail.aspx?GUID=B97A9919-06D9-4FBF-94BC-E9DB55A0AF1F
2019-02-27,99397,矯正署宜蘭監獄108年度會計月報(按月),法務部矯正署宜蘭監獄,公共資訊,矯正署宜蘭監獄108年度會計月報(按月),會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數;年度預算數,每月,""
