資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
127376,鐡道局單位預算,交通部鐵道局,交通及通訊,鐡道局歷年單位預算,資料集名稱;連結網址,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127373,108年僱用管理就業平等概況調查,勞動部,求職及就業,工作分配、薪資給付標準、調薪幅度、考核及陞遷性別考量情形,統計項目別;細項;樣本數（人）;會（%）;不會（%）,每年,政府資料開放授權條款-第1版,,2020/06/17 00:00,勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/。
127374,108年工作場所就業平等概況調查,勞動部,求職及就業,求職、工作分配、調薪幅度、考核及陞遷因性別遭受不平等待遇情形,統計項目別;細項;樣本數（人）;沒有遭受不平等待遇（%）;有遭受不平等待遇（%）;有提出申訴（%）;沒有提出申訴（%）,每年,政府資料開放授權條款-第1版,,2020/06/17 00:00,勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/。
127379,107年勞動部性別勞動統計,勞動部,求職及就業,全時工作及部分工時就業者及受僱者人數,項目別;細項;全日工作就業者人數;部分工時就業者人數;全日工作受僱者人數;部分工時受僱者人數,每年,政府資料開放授權條款-第1版,,2020/06/17 00:00,勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/。
127403,107年歲入預決算(按來源別分),南投縣政府,公共資訊,包含欄位：「年度別」、「總計」、「稅課收入」、「罰款及賠償收入」、「規費收入」、「財產收入」、「營業盈餘及事業收入」...等預算和決算資料,包含欄位：「年度別」;「總計」;「稅課收入」;「罰款及賠償收入」;「規費收入」;「財產收入」;「營業盈餘及事業收入」...等預算和決算資料,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127404,107年各項稅捐實徵數,南投縣政府,公共資訊,包含欄位：「年度別」、「總計」、「國稅」、「縣稅」、「教育捐」、「罰鍰」...等,包含欄位：「年度別」;「總計」;「國稅」;「縣稅」;「教育捐」;「罰鍰」...等,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127405,107年各鄉鎮市歲入預決算(按來源別分),南投縣政府,公共資訊,包含欄位：「年度及鄉鎮市別」、「稅課收入」、「工程受益費收入」、「罰款及賠償收入」、「規費收入」、「財產收入」、「營業盈餘及事業收入」...等預算和決算資料,包含欄位：「年度及鄉鎮市別」;「稅課收入」;「工程受益費收入」;「罰款及賠償收入」;「規費收入」;「財產收入」;「營業盈餘及事業收入」...等預算和決算資料,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127406,107年歲出預決算(按政事別分),南投縣政府,公共資訊,包含欄位：「年度別」、「政權行使支出」、「行政支出」、「民政支出」、「財務支出」、「教育支出」...等預算和決算資料,包含欄位：「年度別」;「政權行使支出」;「行政支出」;「民政支出」;「財務支出」;「教育支出」...等預算和決算資料,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127407,107年鄉鎮市公庫收支,南投縣政府,公共資訊,包含欄位：「年度別」、「本年度收入」、「以前年度收入」、「預算外收入」、「本年度支出」、「以前年度支出」、「預算外支出」、「公庫結存」...等,包含欄位：「年度別」;「本年度收入」;「以前年度收入」;「預算外收入」;「本年度支出」;「以前年度支出」;「預算外支出」;「公庫結存」...等,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127408,107年縣公庫收支,南投縣政府,公共資訊,包含欄位：「年度別」、「本年度收入」、「以前年度收入」、「預算外收入」、「本年度支出」、「以前年度支出」、「預算外支出」、「公庫結存」...等,包含欄位：「年度別」;「本年度收入」;「以前年度收入」;「預算外收入」;「本年度支出」;「以前年度支出」;「預算外支出」;「公庫結存」...等,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127409,107年營業基金及非營業特種基金盈虧（餘絀）,南投縣政府,公共資訊,包含欄位：「年度別」、「營業基金」、「非營業特種基金」...等,包含欄位：「年度別」;「營業基金」;「非營業特種基金」...等,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127410,107年各鄉鎮市歲出預決算(按政事別分),南投縣政府,公共資訊,包含欄位：「年度及鄉鎮市別」、「政權行使支出」、「行政支出」、「民政支出」、「財務支出」、「教育支出」...等預算和決算資料,包含欄位：「年度及鄉鎮市別」;「政權行使支出」;「行政支出」;「民政支出」;「財務支出」;「教育支出」...等預算和決算資料,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127411,107年歷年財政狀況,南投縣政府,公共資訊,包含欄位：「年度別」、「融資調度需求」、「融資調度財源」、「自籌財源比率」、「賦稅依存度」、「補助及協助依存度」、「債務未償餘額」等,包含欄位：「年度別」;「融資調度需求」;「融資調度財源」;「自籌財源比率」;「賦稅依存度」;「補助及協助依存度」;「債務未償餘額」等,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127412,107年各項稅捐納庫數,南投縣政府,公共資訊,包含欄位：「年度及稅目別」、「實徵數」、「納庫數」、「未納庫數」...等,包含欄位：「年度及稅目別」;「實徵數」;「納庫數」;「未納庫數」...等,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127413,107年金融機構分布,南投縣政府,公共資訊,包含欄位：「年底及鄉鎮市別」、「總計」、「本國銀行」、「農會信用部」、「本國壽險公司」、「本國產險公司」...等,包含欄位：「年底及鄉鎮市別」;「總計」;「本國銀行」;「農會信用部」;「本國壽險公司」;「本國產險公司」...等,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127414,107年金融機構存放、款餘額,南投縣政府,公共資訊,包含欄位：「年底別」、「本國銀行存款」、「外國銀行在臺分行存款」、「信用合作社存款」、「郵政儲金匯業局存款」、「本國銀行放款」、「外國銀行在臺分行放款」... 等,包含欄位：「年底別」;「本國銀行存款」;「外國銀行在臺分行存款」;「信用合作社存款」;「郵政儲金匯業局存款」;「本國銀行放款」;「外國銀行在臺分行放款」... 等,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127415,南投縣都市計畫區公園一覽表,南投縣政府,公共資訊,依據南投縣公園管理維護自治條例第二條，本一覽表彙整公園僅為依都市計畫興闢之公園,公園名稱;編號;里別;面積（m2）;類別;座落位置;使用分區;維護管理單位;所在轄區;X座標及Y座標（TWD97坐標）,每日,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127381,嘉義市公有路邊停車格資訊,嘉義市政府,交通及通訊,提供嘉義市公有路邊停車格的路段、起訖路段、收費標準、車位數、收費時間等,項次;路名代號;路段;起訖路段;收費標準;汽車格;機車格;機車區 ;身障格;婦幼格;計程車格;收費時間,每年,政府資料開放授權條款-第1版,https://data.chiayi.gov.tw,2020/03/02 14:31,
127380,國軍退除役官兵輔導委員會職技訓練課程資訊,國軍退除役官兵輔導委員會,求職及就業,提供國軍退除役官兵輔導委員會職技訓練課程資訊,機構名稱;課程種類;課程名稱;是否全天;開訓日期;結訓日期;訓練時數;名額,每半年,政府資料開放授權條款-第1版,,2020/06/17 00:00,
127372,車輛偵測器動態資訊,新北市政府交通局,交通及通訊,提供VD 狀態及偵測值的標準格式，每5分鐘提供各車道不同車種的速率、流量及佔有率，並標示VD 運作狀況。※另提供車輛偵測器靜態資訊，可提供一起使用※(http://data.ntpc.gov.tw/od/detail?oid=7A9B2986-65FB-43EC-B8FF-97CF08E85C88),vdid;datacollecttime;status;vsrid;vsrdir;speed;laneoccupy;carid;volume,即時,政府資料開放授權條款-第1版,,2016/04/14 18:11,OpenAPI說明文件:https://drive.google.com/uc?id=1mt7VKlpuSJlsYENLmk8wi5jTS7Bkj8b3
127369,新北市成人預防保健醫事機構----------------------------------------------------------------------,新北市政府衛生局,就醫,新北市成人預防保健醫事機構清冊----------------------------------------------------------------------,Name;Telephone;District;Address;twd97X;twd97Y;wgs84aX;wgs84aY,每月,政府資料開放授權條款-第1版,,2020/05/26 00:00,
127287,109年5月份會計月報,智慧財產法院,公共資訊,109年5月份會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;業務計畫或工作計畫;經資門;執行數;會計分類;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;基金別;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;金額_本月數;金額_累計數;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;預算項目;預算執行數;會計收支;會計科目,每月,政府資料開放授權條款-第1版,https://ipc.judicial.gov.tw/ipr_internet/index.php?option=com_content&view=article&id=147&Itemid=100101;https://ipc.judicial.gov.tw/ipr_internet/index.php?option=com_content&view=article&id=147&Itemid=100101,2020/06/15 00:00,
127344,矯正署基隆看守所109年會計報告(按月),法務部矯正署基隆看守所,公共資訊,矯正署基隆看守所108年會計報告(按月),會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;業務計畫或工作計畫;經資門;執行數;會計分類;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;基金別;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;金額_本月數;金額_累計數;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;預算項目;預算執行數;會計收支;會計科目,每月,政府資料開放授權條款-第1版,,2020/06/16 00:00,
127350,矯正署基隆少年觀護所109年會計報告(按月),法務部矯正署基隆看守所,公共資訊,矯正署基隆少年觀護所109年會計報告(按月),會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;原預算數;追加減數;第一預備金;第二預備金;經費流用數;預算調整數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應付數;已分配尚未執行數;備註_預暫付數;細目編號;細目名稱;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;業務計畫或工作計畫;經資門;執行數;會計分類;項目;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;基金別;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;金額_本月數;金額_累計數;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;預算項目;預算執行數;會計收支;會計科目,每月,政府資料開放授權條款-第1版,,2020/06/16 00:00,
119132,2020~2022年資料服務產業專業人才需求調查,經濟部工業局,公共資訊,為掌握臺灣資料服務產業專業人才樣貌與需求缺口，協助縮短資料服務廠商對於專業人才之需求落差，以人才需求調查工作，解析臺灣未來3年(2020~2022)資料服務產業專業人才需求與趨勢，調查成果用於推動該產業專業人才未來發展規劃、提升產業競爭力。,年度;推估產值(景氣樂觀)(新台幣億元);推估產值(景氣持平)(新台幣億元);推估產值(景氣保守)(新台幣億元);推估總從業人數(景氣樂觀)(人);推估總從業人數(景氣持平)(人);推估總從業人數(景氣保守)(人);推估專業人才數(景氣樂觀)(人);推估專業人才數(景氣持平)(人);推估專業人才數(景氣保守)(人),每月,政府資料開放授權條款-第1版,,2020/06/18 00:00,
127375,臺中市108年第四季GIS門牌號碼,臺中市政府民政局,公共資訊,"臺中市108年第四季GIS門牌號碼,有TWD97與經緯度",省市縣市代碼;鄉鎮市區代碼;村里;鄰;街_路段;地區;巷;弄;號;TWD97橫坐標;TWD97縱坐標;WGS84經度;WGS84緯度,每月,政府資料開放授權條款-第1版,,2020/06/12 12:00,臺中市政府OAS標準之API說明文件:https://datacenter.taichung.gov.tw/swagger/yaml/387220000A ，Swagger 產生API說明頁面網址。https://datacenter.taichung.gov.tw/swagger/api-docs/
