資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
122656,中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算會計月報,原住民族委員會,公共資訊,原住民族委員會因應中央政府嚴重特殊傳染性肺炎防治及紓困振興特別預算會計月報,Seq;DateListed;年度及月分;項目名稱;檔案下載XML;檔案下載PDF,每月,政府資料開放授權條款-第1版,,2020/05/14 00:00,
122660,嘉義市合格消防設備業者名單,嘉義市政府,公共資訊,嘉義市合格消防設備業者名單,證書字號;專技種類;姓名,每5年,政府資料開放授權條款-第1版,https://data.chiayi.gov.tw,2020/05/15 14:28,
122661,嘉義市緊急救護責任醫院名單,嘉義市政府,就醫,嘉義市緊急救護責任醫院名單,醫院全名;醫事機構代碼;緊急醫療能力分級;地址;總機;專線,每年,政府資料開放授權條款-第1版,https://data.chiayi.gov.tw,2017/02/23 10:09,
122671,健康飲食友善環境餐飲業者,嘉義市政府,公共資訊,衛生局營養師輔導供應符合「我的餐盤」的健康飲食友善環境餐飲業者名單,編號;行政區;餐飲業者;地址;聯絡電話;年度,每年,政府資料開放授權條款-第1版,https://data.chiayi.gov.tw,2020/05/15 15:36,
122657,108年度財產申報抽籤結果,嘉義縣政府,公共資訊,108年度財產申報抽籤結果,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2020/05/15 00:00,
122662,嘉義縣各鄉鎮市村里鄰數、戶數及人口數,嘉義縣政府,公共資訊,村里鄰數、戶數及人口數,村里鄰數;戶數及人口數,每日,政府資料開放授權條款-第1版,,2020/05/15 00:00,
122668,嘉義縣各鄉鎮市原住民族群人口統計,嘉義縣政府,公共資訊,原住民族群,原住民族群,每日,政府資料開放授權條款-第1版,,2020/05/15 00:00,
122669,108年廉潔楷模名單,嘉義縣政府,公共資訊,108年廉潔楷模名單,"ArticleType: 公告模式:0.文章 1.附件 2.連結,FileName: 文章檔案,Link: 文章連結,其餘欄位的說明為格式欄位",每日,政府資料開放授權條款-第1版,,2020/05/15 00:00,
122674,土地段名代碼（ＡＰＩ）,地政司,購屋及遷徙,全國各縣市地政事務所鄉鎮市區之土地段名代碼,OfficeCode（地政事務所代碼）;TownCode（鄉鎮市區代碼）;Section（地段名稱）;SubSection（小段名稱）;SectionCode（段代碼）;Comment（備註）,每年,政府資料開放授權條款-第1版,,2020/05/04 10:05,本資料集擬取代 土地段名代碼 原提供之資料集為XML格式，因舊系統已不再維護，無法提供最新資料集，擬予下架，改以本資料集API格式取代
122675,非都市使用地類別代碼,地政司,購屋及遷徙,提供非都市使用地類別代碼供系統應用,CODE;NAME,每年,政府資料開放授權條款-第1版,,2020/05/04 10:13,OAS文件： https://openapi.land.moi.gov.tw/WEBAPI/OAS/非都市使用地類別代碼.yaml
122637,教育部嚴重特殊傳染性肺炎防治及紓困振興別預算會計月報,教育部會計處,公共資訊,教育部嚴重特殊傳染性肺炎防治及紓困振興別預算會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;原預算數;追加減數;第一預備金;第二預備金;經費流用數;預算調整數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應付數;已分配尚未執行數;備註_預暫付數;業務計畫或工作計畫;經資門;執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;金額_本月數;金額_累計數;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註,每月,政府資料開放授權條款-第1版,https://depart.moe.edu.tw/ED4400/News.aspx?n=1CA18FF73265353D&sms=BCA57219B007D5AF;https://depart.moe.edu.tw/ED4400/News.aspx?n=1CA18FF73265353D&sms=BCA57219B007D5AF,2020/05/14 00:00,
122638,教育部前瞻基礎建設特別預算第1期會計月報,教育部會計處,公共資訊,教育部前瞻基礎建設特別預算第1期會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;以前年度轉入數;應付數;保留數;減免;本月實現數;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;項目;一級用途別編號;一級用途別名稱;經資門;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,,2020/05/15 00:00,
122639,教育部前瞻基礎建設特別預算第2期會計月報,教育部會計處,公共資訊,教育部前瞻基礎建設特別預算第2期會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;原預算數;追加減數;第一預備金;第二預備金;經費流用數;預算調整數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應付數;已分配尚未執行數;備註_預暫付數;業務計畫或工作計畫;經資門;執行數;會計分類;項目;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;基金別;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;金額_本月數;金額_累計數;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;預算項目;預算執行數;調整數;會計收支;會計科目,每月,政府資料開放授權條款-第1版,,2020/05/15 00:00,
122605,109年度嚴重特殊傳染性肺炎防治及紓困振興特別預算執行月報,海洋委員會,公共資訊,109年度嚴重特殊傳染性肺炎防治及紓困振興特別預算執行月報,,每月,政府資料開放授權條款-第1版,,2020/05/15 00:00,
122653,109年度嚴重特殊傳染性肺炎防治及紓困振興特別預算執行情形,海洋委員會,公共資訊,109年度嚴重特殊傳染性肺炎防治及紓困振興特別預算執行情形,,每月,政府資料開放授權條款-第1版,,2020/05/15 00:00,
122649,臺南市不動產實價登錄資訊(107年租賃案件),臺南市政府地政局,購屋及遷徙,臺南市不動產實價登錄資訊(107年租賃案件),鄉鎮市區;租賃標的;土地區段位置或建物區門牌;租賃總面積平方公尺;都市土地使用分區;非都市土益也使用分區;非都市土地使用編定;租賃年月;租賃筆棟數;租賃層次;總樓層數;建物型態;主要用途;主要建材;建築完成年月;建物現況格局-房;建物現況格局-廳;建物現況格局-衛;建物現況格局-隔間;有無管理組織;有無附傢俱;總價元;單價每平方公尺;車位類別;租金總價元;特殊交易備註;備註;編號,每月,政府資料開放授權條款-第1版,https://data.tainan.gov.tw/dataset/tn-land-value107;https://data.tainan.gov.tw/dataset/tn-land-value107;https://data.tainan.gov.tw/dataset/tn-land-value107;https://data.tainan.gov.tw/dataset/tn-land-value107;https://data.tainan.gov.tw/dataset/tn-land-value107;https://data.tainan.gov.tw/dataset/tn-land-value107;https://data.tainan.gov.tw/dataset/tn-land-value107;https://data.tainan.gov.tw/dataset/tn-land-value107,2020/05/13 05:52,
