資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
115857,108年農民職業災害保險給付檔,勞動部勞工保險局,求職及就業,農民職業災害保險傷害給付及就醫津貼、身心障礙給付、喪葬津貼給付案,核付年;核付月;地區;性別;年齡;給付種類;給付件數;給付金額,每年,政府資料開放授權條款-第1版,,2020/01/30 00:00,勞動部OAS標準之API說明文件：https://apiservice.mol.gov.tw/OdService/doc/v2。 Swagger 產生API說明頁面網址：https://petstore.swagger.io/。
115858,國父紀念館影音平台,國立國父紀念館,公共資訊,國父紀念館導入文化部影音平台之開放資料。請於領域別詮釋資料參考網址下載介接說明文件。,category_i18n;meta_column_i18n;data,每半年,政府資料開放授權條款-第1版,https://imedia.culture.tw/channel/yatsen/zh_tw/index,2020/01/22 00:00,
115860,109年度臺中市總預算案(含追加減),臺中市政府主計處,公共資訊,109年度臺中市總預算案(含追加減)相關預算表件,類別;表件名稱1;表件名稱2;連結,每10年,政府資料開放授權條款-第1版,,2020/01/30 10:36,臺中市政府OAS標準之API說明文件:https://datacenter.taichung.gov.tw/swagger/yaml/387200000A ，Swagger 產生API說明頁面網址。https://datacenter.taichung.gov.tw/swagger/api-docs/
115861,10140-01-02-2 臺中市 結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分暨其結婚年齡之第一四分位數、中位數、第三四分位數與平均數(按發生日期),臺中市政府民政局,公共資訊,10140-01-02-2,RptNo;RptName;StatCourseNo;StatCourseName;DataDate;PlaceNo;PlaceName;PeriodNo;PeriodName;Complex1;ComplexName;Complex2;Complex2Name;Complex3;Complex3Name;Complex4;Complex4Name;Complex5;Complex5Name;DeriveNo;DeriveExplain;FValue;SValue;RptDeptNo;RptDeptName;CreateTime;ModifyTime,每日,政府資料開放授權條款-第1版,,2020/01/30 10:57,臺中市政府OAS標準之API說明文件:https://datacenter.taichung.gov.tw/swagger/yaml/387220000A ，Swagger 產生API說明頁面網址。https://datacenter.taichung.gov.tw/swagger/api-docs/
115862,1234-01-02-2 臺中市 結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分暨其結婚年齡之第一四分位數、中位數、第三四分位數與平均數(按發生日期),臺中市政府民政局,公共資訊,臺中市 結婚人數按性別、年齡、原屬國籍(地區)及婚前婚姻狀況分暨其結婚年齡之第一四分位數、中位數、第三四分位數與平均數(按發生日期),RptNo;RptName;StatCourseNo;StatCourseName;DataDate;PlaceNo;PlaceName;PeriodNo;PeriodName;Complex1;ComplexName;Complex2;Complex2Name;Complex3;Complex3Name;Complex4;Complex4Name;Complex5;Complex5Name;DeriveNo;DeriveExplain;FValue;SValue;RptDeptNo;RptDeptName;CreateTime;ModifyTime,每日,政府資料開放授權條款-第1版,,2020/01/30 10:59,臺中市政府OAS標準之API說明文件:https://datacenter.taichung.gov.tw/swagger/yaml/387220000A ，Swagger 產生API說明頁面網址。https://datacenter.taichung.gov.tw/swagger/api-docs/
115863,10140-01-03-2 臺中市 結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分 (按發生日期),臺中市政府民政局,公共資訊,臺中市 結婚人數按性別、單一年齡、五歲年齡及初婚、再婚分 (按發生日期),RptNo;RptName;StatCourseNo;StatCourseName;DataDate;PlaceNo;PlaceName;PeriodNo;PeriodName;Complex1;ComplexName;Complex2;Complex2Name;Complex3;Complex3Name;Complex4;Complex4Name;Complex5;Complex5Name;DeriveNo;DeriveExplain;FValue;SValue;RptDeptNo;RptDeptName;CreateTime;ModifyTime,每年,政府資料開放授權條款-第1版,,2020/01/30 11:00,臺中市政府OAS標準之API說明文件:https://datacenter.taichung.gov.tw/swagger/yaml/387020000A ，Swagger 產生API說明頁面網址。https://datacenter.taichung.gov.tw/swagger/api-docs/
115864,10140-01-05-2 臺中市 初婚人數按性別、年齡及教育程度分暨其結婚年齡中位數(按發生日期),臺中市政府民政局,公共資訊,臺中市 初婚人數按性別、年齡及教育程度分暨其結婚年齡中位數(按發生日期),RptNo;RptName;StatCourseNo;StatCourseName;DataDate;PlaceNo;PlaceName;PeriodNo;PeriodName;Complex1;ComplexName;Complex2;Complex2Name;Complex3;Complex3Name;Complex4;Complex4Name;Complex5;Complex5Name;DeriveNo;DeriveExplain;FValue;SValue;RptDeptNo;RptDeptName;CreateTime;ModifyTime,每日,政府資料開放授權條款-第1版,,2020/01/30 11:25,臺中市政府OAS標準之API說明文件:https://datacenter.taichung.gov.tw/swagger/yaml/387220000A ，Swagger 產生API說明頁面網址。https://datacenter.taichung.gov.tw/swagger/api-docs/
115865,1234-01-05-2 臺中市 初婚人數按性別、年齡及教育程度分暨其結婚年齡中位數(按發生日期),臺中市政府民政局,公共資訊,臺中市 初婚人數按性別、年齡及教育程度分暨其結婚年齡中位數(按發生日期),RptNo;RptName;StatCourseNo;StatCourseName;DataDate;PlaceNo;PlaceName;PeriodNo;PeriodName;Complex1;ComplexName;Complex2;Complex2Name;Complex3;Complex3Name;Complex4;Complex4Name;Complex5;Complex5Name;DeriveNo;DeriveExplain;FValue;SValue;RptDeptNo;RptDeptName;CreateTime;ModifyTime,每日,政府資料開放授權條款-第1版,,2020/01/30 11:52,臺中市政府OAS標準之API說明文件:https://datacenter.taichung.gov.tw/swagger/yaml/387220000A ，Swagger 產生API說明頁面網址。https://datacenter.taichung.gov.tw/swagger/api-docs/
115855,臺灣屏東地方法院108年12月會計報告,臺灣屏東地方法院,公共資訊,包括歲入累計表、經費累計表、以前年度歲入轉入數累計表、以前年度歲出轉入數累計表、平衡表、資本資產表、長期負債表、資本資產變動表、長期負債變動表、歲出用途別累計表、收入實現數與繳付公庫數分析表、支出實現數與公庫撥入數分析表、收入支出彙計表等,,不更新,政府資料開放授權條款-第1版,,2020/01/30 00:00,
115867,農作物統一名稱與代碼,行政院農業委員會,公共資訊,提供資料包括：稻米、蔬菜、果樹、花卉、雜糧、特作、農產品加工及其他作物等8大類作物/農產品項之統一名稱、別名與代碼，以及大/中/小分類之中文名稱與代碼。,ID;CROP_UID;CNAME;ALIAS_CNAME;PLV1;PLV1_NAME;PLV2;PLV2_NAME;PLV5;PLV5_NAME;PLV3;PLV3_NAME;PLV4;PLV4_NAME;PLV6,每日,政府資料開放授權條款-第1版,,2020/01/30 00:00,
