資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
103173,他項權利檔擔保債權種類及範圍類別代碼,地政司,購屋及遷徙,提供全國土地基本資料庫中他項權利檔擔保債權種類及範圍類別代碼，供應用系統依據需求進行取得使用。,CODE;NAME,每年,政府資料開放授權條款-第1版,,2019/06/10 08:49,OAS說明文件:https://openapi.land.moi.gov.tw/WEBAPI/OAS/他項權利檔擔保債權種類及範圍類別.yaml
103174,他項權利檔利息_地租類別及遲延利息類別_違約金類別代碼,地政司,購屋及遷徙,提供全國土地基本資料庫中他項權利檔利息(率)、地租類別、遲延利息(率)類別&違約金類別代碼，供應用系統依據需求進行取得使用,CODE;NAME,每年,政府資料開放授權條款-第1版,,2019/06/10 08:53,OAS說明文件:https://openapi.land.moi.gov.tw/WEBAPI/OAS/他項權利檔利息(率)或地租類別&遲延利息(率)類別&違約金類別.yaml
103176,他項權利檔清償日期類別代碼,地政司,購屋及遷徙,提供全國土地基本資料庫中他項權利檔清償日期類別代碼，供應用系統依據需求進行取得使用,CODE;NAME,每年,政府資料開放授權條款-第1版,,2019/06/10 08:59,OAS說明文件:https://openapi.land.moi.gov.tw/WEBAPI/OAS/他項權利檔清償日期類別.yaml
103177,其他登記事項代碼,地政司,購屋及遷徙,提供全國土地基本資料庫中其他登記事項代碼，供應用系統依據需求進行取得使用。,UNIT;CODE;NAME,每年,政府資料開放授權條款-第1版,,2019/06/10 09:40,OAS說明文件:https://openapi.land.moi.gov.tw/WEBAPI/OAS/其他登記事項代碼.yaml
103178,他項權利檔存續期間類別代碼,地政司,購屋及遷徙,提供全國土地基本資料庫中他項權利檔存續期間類別代碼，供應用系統依據需求進行取得使用。,CODE;NAME,每年,政府資料開放授權條款-第1版,,2019/06/10 09:54,OAS說明文件:https://openapi.land.moi.gov.tw/WEBAPI/OAS/他項權利檔存續期間類別.yaml
103179,權利種類及標的種類代碼,地政司,購屋及遷徙,提供全國土地基本資料庫中權利種類及標的種類代碼，供應用系統依據需求進行取得使用,CODE;NAME,每年,政府資料開放授權條款-第1版,,2019/06/10 09:58,OAS說明文件:https://openapi.land.moi.gov.tw/WEBAPI/OAS/權利種類及標的種類.yaml
103180,他項權利檔權利價值類別代碼,地政司,購屋及遷徙,提供全國土地基本資料庫中他項權利檔權利價值類別代碼，供應用系統依據需求進行取得使用。,CODE;NAME,每年,政府資料開放授權條款-第1版,,2019/06/10 10:02,OAS說明文件:https://openapi.land.moi.gov.tw/WEBAPI/OAS/他項權利檔權利價值類別.yaml
103181,權利範圍類別代碼,地政司,購屋及遷徙,提供全國土地基本資料庫中權利範圍類別清單，供應用系統依據需求進行取得使用,CODE;NAME,每年,政府資料開放授權條款-第1版,,2019/06/10 10:11,OAS說明文件:openapi.land.moi.gov.tw/WEBAPI/OAS/權利範圍類別.yaml
103182,權利人類別代碼,地政司,購屋及遷徙,提供全國土地基本資料庫中權利人類別清單，供應用系統依據需求進行取得使用,CODE;NAME,每年,政府資料開放授權條款-第1版,,2019/06/10 10:19,OAS說明文件:https://openapi.land.moi.gov.tw/WEBAPI/OAS/權利人類別.yaml
103183,債權權利範圍類別代碼,地政司,購屋及遷徙,提供全國土地基本資料庫中債權權利範圍類別代碼，供應用系統依據需求進行取得使用,CODE;NAME,每年,政府資料開放授權條款-第1版,,2019/06/10 10:08,
