資料集識別碼,資料集名稱,提供機關,資料集描述,主要欄位說明,更新頻率,授權方式,備註,新增日期
106896,108年3月司法院及所屬各級法院之終結案件資料與欄位說明,司法院,108年3月司法院及所屬各級法院之終結案件資料，資料提供格式請參閱「司法統計系統資料欄位說明」,,每月,政府資料開放授權條款-第1版,,20191002
106897,108年4月司法院及所屬各級法院之終結案件資料與欄位說明,司法院,108年4月司法院及所屬各級法院之終結案件資料，資料提供格式請參閱「司法統計系統資料欄位說明」,,每月,政府資料開放授權條款-第1版,,20191002
106898,108年5月司法院及所屬各級法院之終結案件資料與欄位說明,司法院,108年5月司法院及所屬各級法院之終結案件資料，資料提供格式請參閱「司法統計系統資料欄位說明」,,每月,政府資料開放授權條款-第1版,,20191002
106899,108年6月司法院及所屬各級法院之終結案件資料與欄位說明,司法院,108年6月司法院及所屬各級法院之終結案件資料，資料提供格式請參閱「司法統計系統資料欄位說明」,,每月,政府資料開放授權條款-第1版,,20191002
108471,屏東縣105年至107年使用牌照稅稅式支出,屏東縣政府財稅局,屏東縣105年至107年使用牌照稅稅式支出 金額單位:新台幣元,項次、項目、依據法律、條款、107年度稅式支出金額、106年度稅式支出金額、105年度稅式支出金額,每年,政府資料開放授權條款-第1版,,20191002
108463,108年度新北市附屬單位預算作業基金現金流量綜計表(依基金別分列)(法定),新北市政府主計處,單位：新臺幣千元 各項欄位說明詳參新北市政府主計處網頁->附屬單位預算及綜計表->108年度附屬單位預算( http://www.bas.ntpc.gov.tw/home.jsp?id=ce44096e0f12fec9)或電洽主計處查詢。,field1(項目)、field2(合計-金額)、field3(新北市醫療作業基金-金額)、field4(新北市都市更新基金-金額)、field5(新北市實施平均地權基金-金額)、field6(新北市停車場作業基金-金額)、field7(新北市軌道建設發展基金-金額)、 、field8(新北市工業及產業用地開發管理基金-金額),每小時,政府資料開放授權條款-第1版,,20191002
108464,108年度新北市附屬單位預算作業基金現金流量綜計表(依基金別分列)(法定),新北市政府主計處,單位：新臺幣千元 各項欄位說明詳參新北市政府主計處網頁->附屬單位預算及綜計表->108年度附屬單位預算( http://www.bas.ntpc.gov.tw/home.jsp?id=ce44096e0f12fec9)或電洽主計處查詢。,field1(項目)、field2(合計-金額)、field3(新北市醫療作業基金-金額)、field4(新北市都市更新基金-金額)、field5(新北市實施平均地權基金-金額)、field6(新北市停車場作業基金-金額)、field7(新北市軌道建設發展基金-金額)、 、field8(新北市工業及產業用地開發管理基金-金額),每年,政府資料開放授權條款-第1版,,20191002
108465,108年度新北市附屬單位預算營業基金財務摘要綜計表(法定),新北市政府主計處,單位：新臺幣百萬元 各項欄位說明詳參新北市政府主計處網頁->附屬單位預算及綜計表->108年度附屬單位預算( http://www.bas.ntpc.gov.tw/home.jsp?id=ce44096e0f12fec9)或電洽主計處查詢。,field1(項目)、field2(本年度)、field3(上年度)、field4(比較增減數)、field5(百分比),每小時,政府資料開放授權條款-第1版,,20191002
108466,108年度新北市附屬單位預算營業基金財務摘要綜計表(法定),新北市政府主計處,單位：新臺幣百萬元 各項欄位說明詳參新北市政府主計處網頁->附屬單位預算及綜計表->108年度附屬單位預算( http://www.bas.ntpc.gov.tw/home.jsp?id=ce44096e0f12fec9)或電洽主計處查詢。,field1(項目)、field2(本年度)、field3(上年度)、field4(比較增減數)、field5(百分比),每年,政府資料開放授權條款-第1版,,20191002
108467,108年度新北市附屬單位預算營業基金損益綜計表(依收支科目分列) (法定),新北市政府主計處,單位：新臺幣千元 各項欄位說明詳參新北市政府主計處網頁->附屬單位預算及綜計表->108年度附屬單位預算( http://www.bas.ntpc.gov.tw/home.jsp?id=ce44096e0f12fec9)或電洽主計處查詢。,field1(科目)、field2(本年度預算數-金額)、field3(本年度預算數-百分比)、field4(上年度預算數-金額)、field5(上年度預算數-百分比)、field6(比較增減-金額)、field7(比較增減-百分比),每年,政府資料開放授權條款-第1版,,20191002
