資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
126366,鄉鎮預報之波流預報資料,交通部中央氣象局,生活安全及品質,氣象局海象數值預報模式於臺灣鄉鎮的分析與預報資料,時間;地點;經度;緯度;海水位高度;海溫;鹽度;東西向流速分量;南北向流速分量;海流流速;海流流向;示性浪高;波浪週期;波長;浪向。,每日,政府資料開放授權條款-第1版,,2020/05/28 00:00,
126373,生活氣象-海水浴場、休閒漁港、海釣之波流模式預報資料,交通部中央氣象局,生活安全及品質,海象數值模式預報資料,時間;浪高;浪向;波浪週期;海流流向;海流流速。,每日,政府資料開放授權條款-第1版,,2020/05/28 00:00,
126409,日平均海溫-臺灣海域各地測站觀測過去1個月,交通部中央氣象局,生活安全及品質,臺灣海域各地海象觀測站(包含潮位站、浮標站)過去1個月每日海表溫度平均資料,測站名稱;經緯度;測站代碼;時間;日平均海溫;。,每日,政府資料開放授權條款-第1版,,2020/05/28 00:00,
126117,106年度新北市總決算歲出政事別決算總表,新北市政府主計處,公共資訊,1.104年度新北市總決算歲出政事別決算總表 2.單位：新臺幣元 3.各項欄位說明詳參新北市政府主計處網頁->總決算->104年度新北市總決算(http://www.bas.ntpc.gov.tw/content/?parent_id=10478&type_id=10011)或電洽主計處查詢。,field1;field2;field3;field4;field5;field6,每月,政府資料開放授權條款-第1版,,2019/03/14 00:00,
126127,109年度新北市附屬單位預算資本計畫基金現金流量綜計表(依基金別分列),新北市政府主計處,公共資訊,單位：新臺幣千元 各項欄位說明詳參新北市政府主計處網頁->附屬單位預算及綜計表->109年度附屬單位預算(http://www.bas.ntpc.gov.tw/home.jsp?id=ce44096e0f12fec9)或電洽主計處查詢。,field1;field2;field3,每月,政府資料開放授權條款-第1版,,2020/02/11 00:00,
126135,109年度新北市總預算基金算分析表-特種基金部分(法定預算),新北市政府主計處,公共資訊,單位：新臺幣千元 各項欄位說明詳參新北市政府主計處網頁->附屬單位預算及綜計表->109年度附屬單位預算( http://www.bas.ntpc.gov.tw/home.jsp?id=ce44096e0f12fec9)或電洽主計處查詢。,field1;field2;field3;field4;field5;field6;field7,每月,政府資料開放授權條款-第1版,,2020/02/11 00:00,
126144,103年度新北市總預算歲出機關別預算總表,新北市政府主計處,公共資訊,1.103年度新北市總預算歲出機關別預算總表2.單位：新臺幣千元3.完整資料詳參新北市政府主計處網頁->總預算->103年預算總表(http://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=d7bc58f03a37bfb75eda0661cf265a6d)或電洽主計處查詢。,field1;field2;field3;field4,每月,政府資料開放授權條款-第1版,,2018/03/31 00:00,
126169,103年度新北市總預算歲入來源別預算總表,新北市政府主計處,公共資訊,1.103年度新北市總預算歲入來源別預算總表2.單位：新臺幣千元3.完整資料詳參新北市政府主計處網頁->總預算->103年預算總表(http://www.bas.ntpc.gov.tw/home.jsp?id=ae62173b3896f185&act=be4f48068b2b0031&dataserno=d7bc58f03a37bfb75eda0661cf265a6d)或電洽主計處查詢。,field1;field2;field3;field4,每月,政府資料開放授權條款-第1版,,2018/03/31 00:00,
126309,109年度新北市附屬單位預算營業基金財務摘要綜計表,新北市政府主計處,公共資訊,單位：新臺幣百萬元 各項欄位說明詳參新北市政府主計處網頁->附屬單位預算及綜計表->109年度附屬單位預算案( http://www.bas.ntpc.gov.tw/home.jsp?id=ce44096e0f12fec9)或電洽主計處查詢。,field1;field2;field3;field4;field5,每月,政府資料開放授權條款-第1版,,2019/11/06 00:00,
126358,109年度新北市附屬單位預算營業基金現金流量綜計表(依基金別分列),新北市政府主計處,公共資訊,單位：新臺幣千元 各項欄位說明詳參新北市政府主計處網頁->附屬單位預算及綜計表->109年度附屬單位預算案( http://www.bas.ntpc.gov.tw/home.jsp?id=ce44096e0f12fec9)或電洽主計處查詢。,field1;field2;field3;field4,每月,政府資料開放授權條款-第1版,,2019/11/06 00:00,
