資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
100747,108年2月司法院及所屬各級法院之終結案件資料與欄位說明,司法院,公共資訊,108年2月司法院及所屬各級法院之終結案件資料，資料提供格式請參閱「司法統計系統資料欄位說明」,,每月,政府資料開放授權條款-第1版,,2019/04/11 00:00,
100852,國史館108年3月會計月報,國史館,公共資訊,國史館108年3月會計月報資料,,每月,政府資料開放授權條款-第1版,,2019/04/11 00:00,
100853,國史館108年3月特別預算會計月報,國史館,公共資訊,國史館108年3月特別預算會計月報資料,,每月,政府資料開放授權條款-第1版,,2019/04/11 00:00,
100945,通訊傳播監督管理基金108年會計月報,國家通訊傳播委員會,交通及通訊,基金來源、用途及餘絀表、平衡表、固定資產建設改良擴充執行情形明細表,SEQNO;LEVEL;BOLD;科目-名稱;科目-編號;以前年度保留數;本年度法定預算數;本年度奉准先行辦理數;合計;本月份實際數;本月份預算數;本月份比較增減;本月份比較增減-百分比;本年度截至本月份累計實際數;本年度截至本月份累計預算數;本年度截至本月份累計比較增減;本年度截至本月份累計比較增減-百分比;項目;金額;百分比;本年度可用預算數;累計預算分配數;實際執行數-實支數;實際執行數-應付未付數;實際執行數;實際執行數-百分比;比較增減;比較增減-百分比;契約責任數;結餘款;累計工程進度-預估;累計工程進度-實際,每月,政府資料開放授權條款-第1版,,2019/04/12 00:00,
100130,基隆市不動產租賃實價登錄Open Data(108年1月租賃登記案件),基隆市政府地政處,購屋及遷徙,購屋及遷徙: 係指各種房屋租賃、房屋遷移、移民等相關資料集,鄉鎮市區;交易標的;土地區段位置/建物區段門牌;土地面積(平方公尺);都市土地使用分區;非都市土地使用分區;非都市土地使用編定;租賃年月日;租賃筆棟數;租賃層次;總樓層數;建物型態;主要用途;主要建材;建築完成年月;建物總面積(平方公尺);建物現況格局-房;建物現況格局-廳;建物現況格局-衛;建物現況格局-隔間;有無管理組織;有無附傢俱;總額(元);單價(元/平方公尺);車位類別;車位面積(平方公尺);車位總額(元);備註;編號,每月,政府資料開放授權條款-第1版,https://land.klcg.gov.tw/business/More?id=805;https://land.klcg.gov.tw/business/More?id=805;https://land.klcg.gov.tw/business/More?id=805,2019/04/03 00:00,
100933,海洋委員會海洋保育署10801會計月報(XML格式),海洋委員會海洋保育署,公共資訊,海洋委員會海洋保育署10801會計月報(XML格式),,每月,政府資料開放授權條款-第1版,https://www.oac.gov.tw/GipOpen/wSite/ct?xItem=127365&ctNode=10650&mp=oca,2019/04/12 00:00,
100946,立法院108年3月份會計月報,立法院,公共資訊,立法院108年3月份會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;用途別科目;支付累計數;項目;經資門;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,,2019/04/12 00:00,
100930,臺灣屏東地方法院108年3月會計報告,臺灣屏東地方法院,公共資訊,臺灣屏東地方法院108年3月會計報告,,不更新,政府資料開放授權條款-第1版,,2019/04/12 00:00,
100943,臺灣桃園地方法院108年3月份會計報告,臺灣桃園地方法院,公共資訊,臺灣桃園地方法院108年3月份會計報告,,不更新,政府資料開放授權條款-第1版,,2019/04/12 00:00,
100936,108年度行政院農業委員會特有生物研究保育中心單位預算,行政院農業委員會,公共資訊,提供108年度行政院農業委員會特有生物研究保育中心單位預算,檔案名稱;下載連結,不更新,政府資料開放授權條款-第1版,https://www.tesri.gov.tw/A12_4/list2/9753;https://www.tesri.gov.tw/A12_4/list2/9753,2019/04/12 00:00,
100937,107年度行政院農業委員會特有生物研究保育中心單位決算,行政院農業委員會,公共資訊,提供107年度行政院農業委員會特有生物研究保育中心單位決算,檔案名稱;下載連結,不更新,政府資料開放授權條款-第1版,https://www.tesri.gov.tw/A12_4/list2/9754;https://www.tesri.gov.tw/A12_4/list2/9754,2019/04/12 00:00,
100938,108年度行政院農業委員會特有生物研究保育中心會計報告,行政院農業委員會,公共資訊,108年度行政院農業委員會特有生物研究保育中心提供108年度行政院農業委員會特有生物研究保育中心會計報告,檔案名稱;下載連結,每月,政府資料開放授權條款-第1版,https://www.tesri.gov.tw/A12_4/list/%E6%9C%83%E8%A8%88%E6%9C%88%E5%A0%B1;https://www.tesri.gov.tw/A12_4/list/%E6%9C%83%E8%A8%88%E6%9C%88%E5%A0%B1,2019/04/12 00:00,
100935,財政資訊中心-中央政府前瞻基礎建設計畫第1期特別預算會計報告(月報),財政部財政資訊中心,公共資訊,"歲入累計表,經費累計表,平衡表,資本資產表,資本資產變動表,歲出用途別累計表,收入實現數與繳付公庫數分析表,支出實現數與公庫撥入數分析表,收入支出彙計表等",會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;原預算數;追加減數;第一預備金;第二預備金;經費流用數;預算調整數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應付數;已分配尚未執行數;備註_預暫付數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;業務計畫或工作計畫;經資門;執行數;項目;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註,每月,政府資料開放授權條款-第1版,,2019/04/12 00:00,
