資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
129129,客運業者服務評鑑,交通處,交通及通訊,客運業者服務評鑑,107年客運業者服務評鑑,每年,政府資料開放授權條款-第1版,,2019/09/23 00:00,
129133,前瞻計畫(亮點計畫),交通處,交通及通訊,東大路道路人本環境改善工程(中央路至經國路及樹林頭公園周邊),東大亮點,每年,政府資料開放授權條款-第1版,,2020/03/09 00:00,
129136,新竹市即時剩餘停車位資訊,交通處,交通及通訊,提供新竹市動態路邊及停車場資訊，包含:停車場名稱、地址、營運時間、平日收費方式、假日收費方式、汽車總車位、汽車剩餘車位、機車總車位、機車剩餘車位、X座標、Y座標,停車場名稱;地址;營運時間;平日收費方式;假日收費方式;汽車總車位;汽車剩餘車位;機車總車位;機車剩餘車位;X座標;Y座標,每年,政府資料開放授權條款-第1版,,2020/04/29 00:00,
129098,新竹市各級工會團體組織名冊,勞工處,公共資訊,新竹市各級工會團體組織名冊,編號;團體名稱;負責人;聯絡電話;聯絡地址編號;聯絡地址,每年,政府資料開放授權條款-第1版,,2017/09/10 00:00,
129131,新竹市101-108年市地重劃區抵費地標售結果統計表,地政處,購屋及遷徙,101-108年市地重劃區抵費地標售土地位於新竹市漁港及朝山市地重劃區,開標日期;市;行政區;段;小段;地號;面積;土地使用分區;標售單價;標售底價;標售金額,每年,政府資料開放授權條款-第1版,,2018/08/10 00:00,
129122,新竹市第六屆十大伴手禮,城市行銷處,休閒旅遊,屆別、得獎產品名稱、店家名稱、地址、電話、網頁,屆別;得獎產品名稱;店家名稱;地址;電話;網頁,每年,政府資料開放授權條款-第1版,,2017/09/10 00:00,
129123,新竹市第六屆非吃不可美食,城市行銷處,休閒旅遊,屆別、得獎產品名稱、店家名稱、地址、電話、網頁,屆別;得獎產品名稱;店家名稱;地址;電話,每年,政府資料開放授權條款-第1版,,2017/09/10 00:00,
129077,公地撥用面積-年 依期間， 鄉鎮別與項目別,宜蘭縣政府,生活安全及品質,公地撥用面積-年 依期間， 鄉鎮別與項目別,總計;國防設備;交通事業;公用事業;水利事業;公共衛生;公共建築;教育慈善;國營事業;其他,每日,政府資料開放授權條款-第1版,,2020/08/04 10:14,無
129119,新北市109年下半年新措施一覽表,新北市政府研究發展考核委員會,公共資訊,新北市109年下半年新措施一覽表(109年6月30日發布),No;Type;Name;Explanation;Scheduled_date;Department,每月,政府資料開放授權條款-第1版,,2020/08/13 00:00,
129082,契稅稅源統計月報表-10907,新北市政府財政局,公共資訊,提供本市各行政區102年1月起每月之契稅稅源統計資料-10907,Field_1;Field_2;Field_3;Field_4;Field_5;Field_6,每月,政府資料開放授權條款-第1版,,2020/08/13 00:00,
129130,街頭藝人場地管理表,新竹市文化局,開創事業,新竹市場地名單與登記方法,街頭藝人場地管理表,每年,政府資料開放授權條款-第1版,,2019/10/03 00:00,
129125,新竹市消防局119受理案件即時訊息,新竹市消防局,公共資訊,1.新竹市消防局119受理案件即時訊息內容包含火災及緊急救護二大類，本資料集採即時更新方式。2.若本局受理案件情形為任務完成或任務取消將不再呈現資料。,序號;受理時間;案件類別;案發地點;出勤分隊;處理情形,每年,政府資料開放授權條款-第1版,,2017/09/10 00:00,
129124,新竹市最近7年房屋稅綜合統計表,新竹市稅務局,投資理財,新竹市最近7年房屋稅綜合統計表查詢,年度別;合計戶數;應稅戶數;免稅戶數;應稅面積;免稅面積;應稅現值;免稅現值;合計稅額;本稅稅額,每年,政府資料開放授權條款-第1版,,2017/09/10 00:00,
129132,新竹市稅務局全功能服務櫃臺他轄代發本機關作業統計表,新竹市稅務局,公共資訊,提供新竹市稅務局全功能服務櫃臺他轄代發本機關作業統計表,服務項目;跨機關,每年,政府資料開放授權條款-第1版,,2019/12/30 00:00,
129135,新竹市稅務局全功能服務櫃臺本轄代發他機關作業統計表,新竹市稅務局,公共資訊,提供新竹市稅務局全功能服務櫃臺本轄代發他機關作業統計表,服務項目,每年,政府資料開放授權條款-第1版,,2019/12/30 00:00,
129138,109年度新竹市稅務局官方網站滿意度問卷調查原始資料,新竹市稅務局,公共資訊,提供109年度新竹市稅務局官方網站滿意度問卷調查問卷題目及109年度新竹市稅務局官方網站滿意度問卷調查民眾答題原始資料,主要欄位說明：題目;類型;選項1;選項2;選項3;選項4;選項5;選項6;選項7;選項8;選項9;選項10;性別;年齡;學歷;職業類別;請問，您目前是不是住新竹市？;請問，您是否曾經造訪過新竹市稅務局的網站？;請問，您瀏覽新竹市稅務局網站頻率大約為？;請問，您瀏覽新竹市稅務局網站的目的為何？（可複選，不限項目）;請問，您瀏覽新竹市稅務局網站的時段主要為何？;請問，您瀏覽新竹市稅務局網站使用的工具主要為何？;新竹稅務局網站在操作上是便利的。,每年,政府資料開放授權條款-第1版,,2020/06/01 00:00,
129126,新竹市遠距健康照護站,新竹市衛生局,生育保健,新竹市遠距健康照護站(單位名稱、地址、電話),單位名稱 地址,每年,政府資料開放授權條款-第1版,,2017/09/10 00:00,
128909,98年度政黨、政治團體政治獻金會計報告書(部分政黨補申報),監察院,公共資訊,監察院政治獻金公開查閱平臺政黨查詢-98年度政黨、政治團體政治獻金會計報告書,序號;擬參選人／政黨;選舉名稱;申報序號／年度;交易日期;收支科目;捐贈者／支出對象;身分證／統一編號;收入金額;支出金額;支出用途;金錢類;地址;聯絡電話;資料更正日期;政黨名稱;申報年度;個人捐贈收入;營利事業捐贈收入;人民團體捐贈收入;匿名捐贈收入;其他收入;收入合計;超過三萬元之收入合計;金錢收入總額;非金錢收入總額;人事費用支出;業務費用支出;公共關係費用支出;選務費用支出;捐贈其推薦之公職侯選人競選費用支出;雜支支出;返還捐贈支出;繳庫支出;支出合計;超過三萬元之支出合計;金錢支出總額;購買財產;非金錢支出總額;結算日專戶存款餘額;本期結餘;會計師事務所全名;會計師姓名;製表人;結算日期;申報日期;更正日期;本年專戶存款結存;上年度專戶存款結存;本年庫存現金;上年度庫存現金;本年未存入專戶現金;上年度未存入專戶現金;本年地方黨部銀行存款;上年度地方黨部銀行存款;本年應收票據;上年度應收票據;本年消耗性財產;上年度消耗性財產;本年非消耗性財產;上年度非消耗性財產;本年其他資產;上年度其他資產;本年資產合計;上年度資產合計;本年應付費用;上年度應付費用;本年其他負債;上年度其他負債;本年累計結餘;上年度累計結餘;本年前期損益調整;上年度前期損益調整;本年本期結餘;上年度本期結餘;本年負債及結餘合計;上年度負債及結餘合計,不更新,政府資料開放授權條款-第1版,,2020/08/14 00:00,
