資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,備註
103629,三軍委辦工程規劃設計階段案件表,國防部參謀本部,公共資訊,工程規劃設計階段案件表，主要內容包含執行階段及工程招標期程等,,不更新,政府資料開放授權條款-第1版,,2019/06/18 00:00,
103610,107年娛樂稅稅源,屏東縣政府財稅局,投資理財,107年娛樂稅稅源,類別 家;數 報繳;稅額 實徵稅額,每日,政府資料開放授權條款-第1版,,2019/06/17 00:00,
103611,106年娛樂稅稅源,屏東縣政府財稅局,投資理財,106年娛樂稅稅源,類別 家;數 報繳;稅額 實徵稅額,每日,政府資料開放授權條款-第1版,,2019/06/17 00:00,
103612,105年娛樂稅稅源,屏東縣政府財稅局,投資理財,105年娛樂稅稅源,類別 家;數 報繳;稅額 實徵稅額,每日,政府資料開放授權條款-第1版,,2019/06/17 00:00,
103613,104年娛樂稅稅源,屏東縣政府財稅局,投資理財,104年娛樂稅稅源,類別 家;數 報繳;稅額 實徵稅額,每日,政府資料開放授權條款-第1版,,2019/06/17 00:00,
103614,103年娛樂稅稅源,屏東縣政府財稅局,投資理財,103年娛樂稅稅源,類別 家;數 報繳;稅額 實徵稅額,每日,政府資料開放授權條款-第1版,,2019/06/17 00:00,
103615,屏東縣政府財稅局受理債權人查調債務人課稅資料統計表,屏東縣政府財稅局,公共資訊,查調每一位債務人之1項資料（所得、財產分開計算，並依每個年度各為1項）收費新臺幣250元整，本局105-107年受理件數及服務費收入統計表(單位:元)。,年度;受理件數;服務費收入,每年,政府資料開放授權條款-第1版,,2019/06/17 00:00,
103652,10450-03-07-2 臺中市國民小學學生裸眼視力檢查,臺中市政府教育局,生育保健,統計項目定義： （一）視力正常：兩眼視力在0.9以上(含0.9)。 （二）視力不良：一眼或兩眼視力未達0.9者。 （三）視力不良率＝視力不良人數/檢查人數×100％。,RptNo;RptName;StatCourseNo;StatCourseName;DataDate;PlaceNo;PlaceName;PeriodNo;PeriodName;Complex1;ComplexName;Complex2;Complex2Name;Complex3;Complex3Name;Complex4;Complex4Name;Complex5;Complex5Name;DeriveNo;DeriveExplain;FValue;SValue;RptDeptNo;RptDeptName;CreateTime;ModifyTime,每日,政府資料開放授權條款-第1版,,2019/06/18 17:50,
103651,1234-03-21-2 臺中市各區 離婚人數按離婚者男女雙方原屬國籍(地區)分,臺中市政府民政局‧地方自治科第二股,公共資訊,臺中市各區離婚人數按離婚者男女雙方原屬國籍,RptNo;RptName;StatCourseNo;StatCourseName;DataDate;PlaceNo;PlaceName;PeriodNo;PeriodName;Complex1;ComplexName;Complex2;Complex2Name;Complex3;Complex3Name;Complex4;Complex4Name;Complex5;Complex5Name;DeriveNo;DeriveExplain;FValue;SValue;RptDeptNo;RptDeptName;CreateTime;ModifyTime,每月,政府資料開放授權條款-第1版,,2019/06/18 17:47,
103653,10720-06-02-2 臺中市常備兵役役男家屬各項扶(慰)助經費統計,臺中市政府民政局‧地方自治科第二股,公共資訊,臺中市常備兵役役男家屬各項扶(慰)助經費統計,RptNo;RptName;StatCourseNo;StatCourseName;DataDate;PlaceNo;PlaceName;PeriodNo;PeriodName;Complex1;ComplexName;Complex2;Complex2Name;Complex3;Complex3Name;Complex4;Complex4Name;Complex5;Complex5Name;DeriveNo;DeriveExplain;FValue;SValue;RptDeptNo;RptDeptName;CreateTime;ModifyTime,即時,政府資料開放授權條款-第1版,,2019/06/18 18:00,
