資料集識別碼,資料集名稱,提供機關,資料集描述,主要欄位說明,更新頻率,授權方式,備註,新增日期
113352,108年度11月基隆市土地建物登記管理資料,基隆市政府地政處,購屋及遷徙: 係指各種房屋買賣、房屋遷移、移⺠等相關資料集,,每月,政府資料開放授權條款-第1版,,20191218
113447,108年度學產基金附屬單位預算(法定預算),教育部會計處,提供108年度學產基金附屬單位法定預算之主要表XML檔，包含(一)基金來源、用途及餘絀預計表，(二)現金流量預計表。,SEQNO、LEVEL、BOLD、前年度決算數、項目、本年度預算數、上年度預算數、比較增減、預算數、說明,每年,政府資料開放授權條款-第1版,,20191218
113448,108年度國立社教機構作業基金附屬單位法定預算,教育部會計處,提供教育部主管國立社教機構作業基金預算主要表之XML，包含(一)收支預計表(二)餘絀撥補預計表(三)現金流量預計表,SEQNO、LEVEL、BOLD、前年度決算數-金額、前年度決算數-百分比、科目、本年度預算數-金額、本年度預算數-百分比、上年度預算數-金額、上年度預算數-百分比、比較增減-金額、比較增減-百分比、項目、說明、預算數,不更新,政府資料開放授權條款-第1版,,20191218
113361,澎湖縣社區發展協會名冊,澎湖縣政府,澎湖縣轄內社區發展協會名冊、理事長及聯絡方式,編號、鄉市別、澎湖縣轄內社區發展協會名稱、理事長姓名、會址、電話,每日,政府資料開放授權條款-第1版,無,20191218
113362,澎湖縣企(職)業工會名冊,澎湖縣政府,澎湖縣轄內企(職)業工會名冊、負責人及聯絡方式,編號、澎湖縣轄內工會名稱、負責人姓名、會址、聯絡電話,每日,政府資料開放授權條款-第1版,無,20191218
113363,澎湖縣政府消防局出動消防人車次艇統計表,澎湖縣政府,119救災救護出動人、車、艇統計,月份、受理案件數、出動消防人力、出動消防車及救護車車次,每日,政府資料開放授權條款-第1版,無,20191218
113364,澎湖縣政府消防局119受理為民服務及其他案件件數統計表,澎湖縣政府,統計受理為民服務案件數,月份、捉蛇案件數、捕蜂案件數、其他為民服務案件數、每月為民服務案件數總計,每日,政府資料開放授權條款-第1版,無,20191218
113365,澎湖縣綠色商店,澎湖縣政府,行政院環境保護署綠色生活資訊網綠色商店,商店全名、商店地址、連絡電話,每日,政府資料開放授權條款-第1版,無,20191218
113366,澎湖縣契稅徵收季報表,澎湖縣政府,澎湖縣契稅徵收季報表,澎湖縣、契稅,每季,政府資料開放授權條款-第1版,單位：仟元,20191218
113367,澎湖縣最近5年土地增值稅稅源統計表,澎湖縣政府,土地增值稅申報移轉件數、面積、查定數等概況,澎湖縣、土地增值稅,每年,政府資料開放授權條款-第1版,無,20191218
113368,澎湖縣村、里、鄰、戶、人口與戶籍動態登記數按性別及登記項目分,澎湖縣政府,提供澎湖縣各村里鄰數、戶數、性別、人口數、遷出入人數、出生人數、死亡人數及結離婚對數,統計澎湖縣各村里鄰數、戶數、性別、人口數、遷出入人數、出生人數、死亡人數及結離婚對數,每月,政府資料開放授權條款-第1版,無,20191218
