資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
92166,臺灣臺東地方法院107年9月份會計月報(XML),臺灣臺東地方法院,公共資訊,臺灣臺東地方法院107年9月份會計月報歲入累計表等14表(XML),,每月,政府資料開放授權條款-第1版,http://ttd.judicial.gov.tw/index.asp?struID=79&navID=80&cid=107,2018/10/03 00:00,2018/10/03 14:04,
92176,高雄高等行政法院107年度9月會計月報 ,高雄高等行政法院,公共資訊,高雄高等行政法院107年度9月會計月報,會計年度;月份;款;項;目;節;預算年度;預算科目編號;預算科目名稱;細目編號;細目名稱;原預算數;追加減數;截至本月止累計分配數_1;本月實現數;截至本月止累計實現數_2;應收收入數_3;分配數預算餘額_4;分支計畫編號;分支計畫名稱;用途別編號;用途別名稱;第一預備金;第二預備金;經費流用數;預算調整數;應付數;已分配尚未執行數;備註_預暫付數;以前年度轉入數;應收數;保留數;減免;截至本月止累計實現數;調整數;尚未執行數;基金別;會計分類;使用機關別;科目分類;會計科目編號;會計科目名稱;金額;科目名稱;取得成本;以前年度累計折舊_長期投資評價;本年度資本資產成本變動_增加數;本年度資本資產成本變動_減少數;本年度累計折舊_長期投資評價變動數;期末帳面金額;備註;業務計畫或工作計畫;經資門;執行數;項目;收入實現數;減項_收入待納庫數;加項_以前年度待納庫繳庫數;加項_以前年度撥款於本年度繳還數_材料;加項_以前年度撥款於本年度繳還數_存出保證金;加項_以前年度撥款於本年度繳還數_其他應收款;加項_預收款;加項_剔除經費;繳付公庫數;一級用途別編號;一級用途別名稱;支出實現數;加項_預付款;加項_材料;加項_存出保證金;加項_零用金;加項_退還收入預收款;加項_其他應收款;減項_以前年度撥款於本年度實現數;公庫撥入數;公庫分配數餘額;金額_本月數;金額_累計數,每月,政府資料開放授權條款-第1版,http://ksb.judicial.gov.tw/chinese/GovPublicInfo.aspx?p=58&pa=10227&n=10347&type=6,2018/10/03 00:00,2018/10/03 14:14,
92181,中央研究院與工研院學研合作計畫,學術及儀器事務處,公共資訊,中央研究院與工研院學研合作計畫,執行年度;計畫類別;計畫編號;主持人姓名;主持人類別;主持人所屬單位;計畫名稱(中文);計畫名稱(英文);研究期程 (起);研究期程 (迄),每年,政府資料開放授權條款-第1版,,2018/10/03 00:00,2018/10/03 17:53,
92182,中央研究院資料科學研究計畫,學術及儀器事務處,公共資訊,本院資料科學研究計畫,執行年度;計畫類別;計畫編號;主持人姓名;主持人類別;主持人所屬單位;計畫名稱(中文);計畫名稱(英文);研究期程 (起);研究期程 (迄),每年,政府資料開放授權條款-第1版,,2018/10/03 00:00,2018/10/03 17:53,
92184,榮總三總中研院合作研究計畫,學術及儀器事務處,公共資訊,本院與榮總三總合作研究計畫,執行年度;計畫類別;計畫編號;主持人姓名;主持人類別;主持人所屬單位;計畫名稱(中文);計畫名稱(英文);研究期程 (起);研究期程 (迄),每年,政府資料開放授權條款-第1版,,2018/10/03 00:00,2018/10/03 17:53,
92185,臺灣大學與中研院創新合作計畫,學術及儀器事務處,公共資訊,臺灣大學與中研院創新合作計畫,核定年度;計畫類別;計畫編號;主持人姓名;主持人類別;主持人所屬單位;計畫名稱(中文);計畫名稱(英文);研究期程 (起);研究期程 (迄),每年,政府資料開放授權條款-第1版,,2018/10/03 00:00,2018/10/03 17:53,
92186,中央研究院數位文化中心計畫,學術及儀器事務處,公共資訊,本院數位文化中心計畫,執行年度;計畫類別;計畫編號;主持人姓名;主持人類別;主持人所屬單位;計畫名稱(中文);計畫名稱(英文);研究期程 (起);研究期程 (迄),每年,政府資料開放授權條款-第1版,,2018/10/03 00:00,2018/10/03 17:53,
92188,中央研究院關鍵材料與分析科技研究計畫,學術及儀器事務處,公共資訊,本院關鍵材料與分析科技研究計畫,執行年度;計畫類別;計畫編號;主持人姓名;主持人類別;主持人所屬單位;計畫名稱(中文);計畫名稱(英文);研究期程 (起);研究期程 (迄),每年,政府資料開放授權條款-第1版,,2018/10/03 00:00,2018/10/03 17:53,
92189,中央研究院全院性核心設施及新創儀器計畫,學術及儀器事務處,公共資訊,本院全院性核心設施及新創儀器計畫,編號;計畫名稱;計畫主持人;共同主持人;所屬單位,每年,政府資料開放授權條款-第1版,,2018/10/03 00:00,2018/10/03 17:53,
92165,行政院消費者保護會-定型化契約範本,行政院,公共資訊,行政院消費者保護會-定型化契約範本,來源網址;主題;內容;上版日期;相關檔案;相關連結;,每2月,政府資料開放授權條款-第1版,,2018/10/03 00:00,2018/10/03 09:55,
92172,勞保現金給付一次給付(不含差額金),勞動部勞工保險局,求職及就業,去年之統計,核付年;核付月;地區別;類別;業別;性別;年齡;給付種類;傷病分類;核付件數;核付金額,每年,政府資料開放授權條款-第1版,,2018/10/03 10:29,2018/10/03 10:29,
92173,內政部有限取用資料清單,內政部資訊中心,公共資訊,內政部有限取用資料清單,項次;機關名稱;資料名稱;使用對象;使用條件;主要欄位說明;資料申請網址;備註,每季,政府資料開放授權條款-第1版,,2018/10/03 10:09,2018/10/03 11:44,
