資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
93935,勞保現金給付一次給付(差額金),勞動部勞工保險局,求職及就業,前一年度之統計,核付年;核付月;地區別;類別;業別;性別;年齡;給付種類;傷病分類;核付件數;核付金額,每年,政府資料開放授權條款-第1版,,2018/10/22 10:31,2018/10/22 10:31,
93927,原住民族家庭消費支出按型態分,原住民族委員會,公共資訊,原住民族家庭消費支出按型態分:99年度、103年度,Seq;DateListed;年度;消費項目別;消費支出元,每年,政府資料開放授權條款-第1版,,2018/10/22 00:00,2018/10/22 06:16,
93928,部落生態旅遊套裝行程路線,原住民族委員會,公共資訊,部落生態旅遊套裝行程路線及旅行社聯絡資訊,Seq;DateListed;執行單位;遊程涵蓋部落名稱;遊程名稱;遊程資料;成團及人數限制;旅行社聯絡窗口;相關連結,每年,政府資料開放授權條款-第1版,,2018/10/22 00:00,2018/10/22 06:16,
93929,原住民族學生國中及高級中等學校畢業生升學與就業情形,原住民族委員會,公共資訊,原住民族學生國中及高級中等學校畢業生升學與就業情形:104學年度,Seq;DateListed;學年度;學制項目;總計人數;升學人數;就業人數;未升學未就業人數;其他人數;總計百分比;升學百分比;就業百分比;未升學未就業百分比;其他百分比,每年,政府資料開放授權條款-第1版,,2018/10/22 00:00,2018/10/22 06:17,
93930,原住民族家庭收入狀況,原住民族委員會,公共資訊,原住民族家庭收入狀況統計:99年度、103年度,Seq;DateListed;年度;項目別;原住民族家庭收入元;原住民族家庭收入百分比,每年,政府資料開放授權條款-第1版,,2018/10/22 00:00,2018/10/22 06:17,
93931,原住民族大專畢業生就讀學門人數,原住民族委員會,公共資訊,原住民族大專104學年度畢業生就讀學門人數,Seq;DateListed;學年度;學門別;全體學生畢業人數;全體學生比率;原住民族學生畢業人數;原住民族學生比率,每年,政府資料開放授權條款-第1版,,2018/10/22 00:00,2018/10/22 06:18,
93932,大專院校原住民族獎助學金各獲獎類別學生族別統計,原住民族委員會,公共資訊,原住民族學生於大專院校105學年度第二學期及106學年度第一學期獎助學金領取人數,Seq;DateListed;學年度;學期別;族別;獎學金人數;一般助學金;中低助學金;低收助學金,每年,政府資料開放授權條款-第1版,,2018/10/22 00:00,2018/10/22 06:20,
93934,內政部建築研究所歷年研究建築物外牆飾材檢查程序,內政部建築研究所,公共資訊,介紹本所歷年研究建築物外牆飾材檢查程序資訊,編號;外牆飾材種類;檢查程序;程序說明,每年,政府資料開放授權條款-第1版,,2018/10/22 08:55,2018/10/22 09:07,
93938,外籍人士在台犯罪資料,警政署,交通及通訊,提供外籍人士在台犯罪資料,type;oc_dt;oc_p1;country,每季,政府資料開放授權條款-第1版,,2018/10/18 10:50,2018/10/22 13:52,發生地點僅顯示縣、市。
93946,新竹市政府財政處經管市有閒置房地公開標售清冊,新竹市政府,公共資訊,新竹市政府財政處經管市有閒置房地公開標售清冊,新竹市政府財政處經管市有閒置房地公開標售,每日,政府資料開放授權條款-第1版,,2018/10/15 00:00,2018/10/22 23:54,新竹市政府財政處經管市有閒置房地公開標售清冊
93947,新竹市職業安全衛生教育訓練機構,新竹市政府,公共資訊,新竹市職業安全衛生教育訓練機構,新竹市職業安全衛生教育訓練機構,每日,政府資料開放授權條款-第1版,,2018/10/16 00:00,2018/10/23 00:10,新竹市職業安全衛生教育訓練機構
