資料集識別碼,資料集名稱,提供機關,服務分類,資料集描述,主要欄位說明,更新頻率,授權方式,相關網址,上架日期,詮釋資料更新時間,備註
93886,中央研究院期刊論文目錄,學術及儀器事務處,公共資訊,中央研究院期刊論文目錄,contributor;creator;date;description.sponsorship;description.note;language;publisher;relation;title;type,每4年,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 15:03,
93889,中央研究院專書、論文集目錄,學術及儀器事務處,公共資訊,本院專書、論文集目錄,contributor;creator;date;description.sponsorship;description.note;language;publisher;relation;title;type,每4年,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 15:03,
93891,中央研究院研討會論文目錄,學術及儀器事務處,公共資訊,本院研討會論文目錄,contributor;creator;date;description.sponsorship;description.note;language;relation;title;type,每4年,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 15:03,
93892,中央研究院其他著作目錄,學術及儀器事務處,公共資訊,本院其他著作目錄,contributor;creator;date;description.sponsorship;description.note;language;publisher;relation;title;type,每4年,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 15:01,
93857,中部科學工業園區管理局工安環保月-活動項目清單,科技部中部科學工業園區管理局,公共資訊,相關活動資料,活動日期;活動項目,每年,政府資料開放授權條款-第1版,,2018/10/18 00:00,2018/10/18 15:54,
93876,台灣采風翦影,交通部觀光局,休閒旅遊,蒐集全台各地景點照片,PHRFNBR;PHSUBJECT;PHDESC;PHKEYWORD;PHAUTHOR;PHPATH72;link,每日,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 09:45,
93878,提供電話答詢服務,交通部觀光局,休閒旅遊,櫃台電話服務,提供電話服務人次;松山機場人數小記;松山機場百分比;桃園機場人數小記;桃園機場百分比;高雄機場人數小記;高雄機場百分比,每日,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 10:05,
93879,提供旅客資料服務,交通部觀光局,休閒旅遊,櫃台提供旅遊摺頁服務,提供旅客資料服務人次;松山機場人數小記;松山機場百分比;桃園機場人數小記;桃園機場百分比;高雄機場人數小記;高雄機場百分比,每日,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 10:09,
93884,旅行業糾紛資料集,交通部觀光局,休閒旅遊,提供旅行業糾紛案件與類型資料,編號;糾紛類別;旅遊地區;國家,每日,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 14:06,
93885,旅行業旅遊意外事故資料集,交通部觀光局,休閒旅遊,提供旅行業旅遊意外事故地區與類別資料,區域;國家;意外事故類別,每日,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 14:10,
93887,合格導遊人員資料集,交通部觀光局,休閒旅遊,提供導遊人員國考及格、領取執照與性別、出生年區間等資料,編號;語言別;性別;年齡區間,每日,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 13:56,
93888,合格領隊人員資料集,交通部觀光局,休閒旅遊,提供領隊人員國考及格、領取執照與性別、年齡區間等資料,編號;語言別;性別;年齡區間,每日,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 13:58,
93890,旅行業處份案件資料集,交通部觀光局,休閒旅遊,旅行業處份類型紀錄資料,類別;處分日期;停業日期;原登記營業處所,每日,政府資料開放授權條款-第1版,,2018/10/19 00:00,2018/10/19 14:00,
93893,內政部建築研究所建築資訊建模（BIM）推廣教育訓練課程項目一覽表,內政部建築研究所,公共資訊,介紹本所107年建築資訊建模（BIM）推廣教育訓練課程項目資訊,編號;年度;課程名稱,每年,政府資料開放授權條款-第1版,,2018/10/19 14:35,2018/10/19 15:12,
93898,內政部建築研究所歷年研究建築物外牆瓷磚及飾材檢查方法簡介,內政部建築研究所,公共資訊,介紹本所歷年研究建築物外牆瓷磚及飾材檢查方法資訊,編號;檢查方法名稱;檢查方法介紹;適用之外牆飾材種類;網址,每年,政府資料開放授權條款-第1版,,2018/10/19 15:32,2018/10/19 15:42,
93843,衛生福利部108年度預算案,衛生福利部會計處,公共資訊,108年度衛生福利部單位預算案,,不更新,政府資料開放授權條款-第1版,,2018/10/18 00:00,2018/10/18 13:36,
